frame,sideline_top_left,big_rect_left_top_pt1,big_rect_left_top_pt2,big_rect_left_bottom_pt1,big_rect_left_bottom_pt2,small_rect_left_top_pt1,small_rect_left_top_pt2,small_rect_left_bottom_pt1,small_rect_left_bottom_pt2,sideline_bottom_left,left_semicircle_right,center_line_top,center_line_bottom,center_circle_top,center_circle_bottom,field_center,sideline_top_right,big_rect_right_top_pt1,big_rect_right_top_pt2,big_rect_right_bottom_pt1,big_rect_right_bottom_pt2,small_rect_right_top_pt1,small_rect_right_top_pt2,small_rect_right_bottom_pt1,small_rect_right_bottom_pt2,sideline_bottom_right,right_semicircle_left,center_circle_left,center_circle_right
00000,0.0019299749983474612,0.0008555508102290332,0.006494623143225908,0.006139421835541725,0.0020900676026940346,0.000958414631895721,0.0021265086252242327,0.003935680259019136,0.0031360979191958904,0.00730504933744669,0.020387500524520874,0.013030187226831913,0.00738005293533206,0.03622310236096382,0.02449645660817623,0.023131560534238815,0.9233680963516235,0.9548511505126953,0.7988722920417786,0.025219347327947617,0.6417161226272583,0.9159274697303772,0.9568124413490295,0.18732406198978424,0.6181252002716064,0.006770181003957987,0.9725810885429382,0.05125891789793968,0.051636241376399994
00001,0.015394354239106178,0.01765885017812252,0.01648457907140255,0.024427885189652443,0.016652066260576248,0.020952528342604637,0.03419196605682373,0.025335926562547684,0.035942669957876205,0.00677143782377243,0.014337488450109959,0.02764212340116501,0.008803690783679485,0.04220684990286827,0.035746682435274124,0.031852658838033676,0.812255859375,0.7350161075592041,0.9255896806716919,0.03333203122019768,0.4887087643146515,0.5267392992973328,0.8249593377113342,0.12663725018501282,0.4800906181335449,0.006420286372303963,0.8605083227157593,0.04130212962627411,0.04057161509990692
00002,0.0026314235292375088,0.0012120982864871621,0.009197225794196129,0.008701720274984837,0.003929921425879002,0.0020206295885145664,0.0038147023878991604,0.012742321006953716,0.010127763263881207,0.007456873543560505,0.019639436155557632,0.009812402538955212,0.007830800488591194,0.01596536859869957,0.013320696540176868,0.012978214770555496,0.7237145304679871,0.9342263340950012,0.13839784264564514,0.06382579356431961,0.7625607848167419,0.9585452079772949,0.9508610963821411,0.6060193777084351,0.8856037855148315,0.008760836906731129,0.796338677406311,0.019909698516130447,0.021100986748933792
00003,0.005573711358010769,0.00467176316305995,0.01359991542994976,0.014746490865945816,0.00504537858068943,0.00731033505871892,0.013624596409499645,0.02223033457994461,0.029885848984122276,0.003418596461415291,0.0036357345525175333,0.008818762376904488,0.004522630013525486,0.007959110662341118,0.008523048833012581,0.007999693974852562,0.7431690692901611,0.9115959405899048,0.17217136919498444,0.12458998709917068,0.4009742736816406,0.9339085817337036,0.9229370355606079,0.7247437834739685,0.9100335240364075,0.006148617248982191,0.18487511575222015,0.007351345848292112,0.007383693940937519
00004,0.002564718946814537,0.001140800304710865,0.007518728729337454,0.006325309630483389,0.0021854680962860584,0.0011537435930222273,0.002573305042460561,0.0038388625252991915,0.0031163606327027082,0.008056620135903358,0.02453899197280407,0.014198584482073784,0.00788342859596014,0.04279255494475365,0.02795564755797386,0.026152437552809715,0.9243457913398743,0.9439365267753601,0.8434082865715027,0.020959891378879547,0.5592197179794312,0.8770068883895874,0.9441103339195251,0.1278345286846161,0.4979204833507538,0.0071333604864776134,0.9747578501701355,0.06089141592383385,0.060968540608882904
00005,0.0025317566469311714,0.0012151540722697973,0.008835015818476677,0.009310008026659489,0.004282002337276936,0.0019081896170973778,0.0036116403061896563,0.01143717672675848,0.009189464151859283,0.007656261790543795,0.02096378244459629,0.011223199777305126,0.00831303745508194,0.020224517211318016,0.016338471323251724,0.015659533441066742,0.7914243340492249,0.942858874797821,0.2541162371635437,0.06385146081447601,0.7879538536071777,0.957169234752655,0.9565171003341675,0.5732371211051941,0.8758732080459595,0.008769121952354908,0.8732520937919617,0.02542683482170105,0.02682943269610405
00006,0.8469153046607971,0.9386678338050842,0.4645061790943146,0.015460866503417492,0.586432158946991,0.9151170253753662,0.9517620801925659,0.13450877368450165,0.5806587338447571,0.004656179808080196,0.9378343820571899,0.007441582623869181,0.005372152663767338,0.016362622380256653,0.012587142176926136,0.011643607169389725,0.001749049173668027,0.0006725062849000096,0.007306674961000681,0.004648473579436541,0.0017249491065740585,0.0008948760805651546,0.0020456616766750813,0.003998264670372009,0.0031000403687357903,0.005927255842834711,0.01632172055542469,0.02266838029026985,0.02315814048051834
00007,0.0018808936001732945,0.0006408288609236479,0.008875845931470394,0.0054954891093075275,0.001991404453292489,0.0010645372094586492,0.0024248380213975906,0.009108294732868671,0.006957101635634899,0.004784290678799152,0.020086029544472694,0.006292140576988459,0.005001655779778957,0.012196923606097698,0.00949213095009327,0.009318165481090546,0.7090595960617065,0.9441823363304138,0.07819473743438721,0.03456587344408035,0.7181620001792908,0.9658547639846802,0.9610595107078552,0.4645579755306244,0.8557039499282837,0.005528677254915237,0.7928858399391174,0.017223814502358437,0.01801362819969654
00008,0.0075060217641294,0.005646000150591135,0.015869397670030594,0.014687016606330872,0.005045292433351278,0.006715767551213503,0.0140862837433815,0.01656389981508255,0.02313762716948986,0.00475361617282033,0.004496611654758453,0.011159389279782772,0.005766990128904581,0.009915191680192947,0.010293318890035152,0.009711319580674171,0.8762229681015015,0.9477432370185852,0.37640753388404846,0.13887064158916473,0.49282458424568176,0.9449320435523987,0.9501333832740784,0.723858654499054,0.9205278158187866,0.007922538556158543,0.36579862236976624,0.0086432583630085,0.009013751521706581
00009,0.191025048494339,0.14417028427124023,0.19184447824954987,0.043252699077129364,0.08162417262792587,0.11437621712684631,0.20793139934539795,0.08182317018508911,0.10836625099182129,0.016290079802274704,0.5700892806053162,0.03263147547841072,0.019541241228580475,0.12662546336650848,0.07926671206951141,0.06974253058433533,0.21674537658691406,0.13937969505786896,0.3375343084335327,0.0180253516882658,0.07324127852916718,0.08804084360599518,0.2134522646665573,0.02345164865255356,0.05028418079018593,0.014933666214346886,0.6645668745040894,0.1997521072626114,0.18303434550762177
